#  R    En    Tr      X1     Y1     X2     Y2     X3     Y3     X4     Y4     X5     Y5     X6     Y6     X7     Y7     X8     Y8     X9     Y9     X10     Y10     X11     Y11     X12     Y12     X13     Y13     X14     Y14     X15     Y15     X16     Y16 
100.0   0.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
100.0   8.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
100.0  16.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
100.0  24.0  0.408  -0.04   0.48  -0.46   0.10  -0.39  -0.27  -0.99  -1.02  -0.01   0.14  -0.89   0.42  -0.08   0.24  -1.06  -0.05  -1.61  -2.30  -0.08   0.05  -0.20  -0.27  -0.69  -0.24  -1.10  -1.20   0.33   0.81   1.30   0.62   0.71   1.00
100.0  32.0  0.483  -0.25   0.25  -0.09   0.11  -0.50   0.17  -2.01   0.07  -0.04  -0.23   0.17  -0.82   0.45   0.48  -1.41   1.15   0.45   0.24   0.24  -0.52  -0.77  -0.49   0.04  -0.23   1.01  -1.20   0.87  -0.22   1.05   0.45   1.57   0.81
100.0  40.0  0.404  -0.21  -0.26  -1.09  -1.25  -0.02   0.92  -1.33   1.20   0.25   0.31  -1.67  -3.33   0.51  -0.21  -0.96   0.70   0.73  -0.29   0.06  -0.29  -0.00  -0.13  -0.13  -0.29   0.57  -1.11  -0.32  -0.25  -0.10  -0.39   0.80  -0.37
100.0  48.0  0.494  -0.33  -0.31  -1.14  -1.21   0.19   0.61   0.04   0.70   0.29   0.44  -1.76  -1.74   0.21  -0.37   0.05  -0.19  -0.10  -2.11   0.41   0.28   0.53   0.33  -0.38  -0.12   0.27  -2.86  -0.48  -0.14  -0.33   0.02  -0.15  -0.89
100.0  56.0  0.293  -0.25  -0.15  -0.56  -0.58  -0.05   0.27   0.22   0.24   0.46   0.40  -0.65  -0.22   0.22  -0.16   0.32  -0.57   0.00  -0.84   0.40   0.16   0.28   0.08  -0.40   0.16   0.11  -1.46  -0.27  -0.24  -0.07   0.16  -0.19  -0.81
100.0  64.0  0.219  -0.18  -0.02  -0.37  -0.73  -0.21   0.19   0.05  -0.26   0.54   0.68  -0.09   0.08   0.40  -0.01   0.49  -1.44   0.07  -0.28   0.46   0.17  -0.02  -0.23  -0.37   0.96  -0.06  -0.77  -0.30  -0.27   0.07   0.02   0.06  -0.59
100.0  72.0  0.474  -0.23   0.18   0.31  -1.70   0.17  -0.04  -0.95  -1.72   0.05   1.53   0.47  -0.71   0.68   0.27   0.10  -2.42   0.21  -0.09   0.22   0.42  -0.63   0.01   0.03   1.92  -0.23  -0.11  -0.48  -0.10   0.03  -0.22   0.69   0.19
